['1552697727826', '192.168.50.145', '10.15', '10205FE010002BEB', '0.200', '-5.499', '-7.985', '-0.210', '-3.211', '-2.599', '0.185', '-0.181', '-0.468', '1028.84', '-82']
['1552697727841', '192.168.50.145', '2.69', '10205FE010002C92', '0.200', '-5.499', '-7.985', '-0.210', '-3.211', '-2.599', '0.185', '-0.181', '-0.468', '1028.84', '-83']
['1552697727868', '192.168.50.145', 'NA', 'NA', '0.041', '-5.517', '-8.054', '-1.374', '-3.211', '-2.888', '0.185', '-0.186', '-0.470', '1028.84', 'NA']
['1552697727883', '192.168.50.145', '36.51', '10205FE010002A85', '0.041', '-5.517', '-8.054', '-1.374', '-3.211', '-2.888', '0.185', '-0.186', '-0.470', '1028.84', '-97']
['1552697727904', '192.168.50.145', 'NA', 'NA', '0.041', '-5.517', '-8.054', '-1.374', '-3.211', '-2.888', '0.185', '-0.186', '-0.470', '1028.84', 'NA']
['1552697727931', '192.168.50.145', 'NA', 'NA', '-0.111', '-5.391', '-8.070', '0.822', '-1.558', '-2.100', '0.183', '-0.182', '-0.468', '1028.79', 'NA']
['1552697727952', '192.168.50.145', 'NA', 'NA', '-0.111', '-5.391', '-8.070', '0.822', '-1.558', '-2.100', '0.183', '-0.182', '-0.468', '1028.79', 'NA']
['1552697727973', '192.168.50.145', 'NA', 'NA', '-0.111', '-5.391', '-8.070', '0.822', '-1.558', '-2.100', '0.183', '-0.182', '-0.468', '1028.79', 'NA']
['1552697728001', '192.168.50.145', '18.35', '10205FE0100031F3', '-0.079', '-5.664', '-8.073', '-1.374', '-0.656', '-2.896', '0.184', '-0.180', '-0.468', '1028.84', '-91']
['1552697728015', '192.168.50.145', '36.53', '10205FE010002A85', '-0.079', '-5.664', '-8.073', '-1.374', '-0.656', '-2.896', '0.184', '-0.180', '-0.468', '1028.84', '-97']
['1552697728036', '192.168.50.145', 'NA', 'NA', '-0.079', '-5.664', '-8.073', '-1.374', '-0.656', '-2.896', '0.184', '-0.180', '-0.468', '1028.84', 'NA']
['1552697728057', '192.168.50.145', '20.83', '10205FE010002C95', '0.031', '-5.544', '-7.981', '-1.881', '-2.844', '0.831', '0.174', '-0.184', '-0.470', '1028.76', '-87']
['1552697728072', '192.168.50.145', '10.21', '10205FE010002BEB', '0.031', '-5.544', '-7.981', '-1.881', '-2.844', '0.831', '0.174', '-0.184', '-0.470', '1028.76', '-81']
['1552697728093', '192.168.50.145', 'NA', 'NA', '0.031', '-5.544', '-7.981', '-1.881', '-2.844', '0.831', '0.174', '-0.184', '-0.470', '1028.76', 'NA']
['1552697728121', '192.168.50.145', 'NA', 'NA', '-0.049', '-5.550', '-7.975', '-1.881', '-1.715', '-2.380', '0.183', '-0.184', '-0.467', '1028.81', 'NA']
['1552697728136', '192.168.50.145', '36.56', '10205FE010002A85', '-0.049', '-5.550', '-7.975', '-1.881', '-1.715', '-2.380', '0.183', '-0.184', '-0.467', '1028.81', '-97']
['1552697728157', '192.168.50.145', 'NA', 'NA', '-0.049', '-5.550', '-7.975', '-1.881', '-1.715', '-2.380', '0.183', '-0.184', '-0.467', '1028.81', 'NA']
['1552697728184', '192.168.50.145', 'NA', 'NA', '0.104', '-5.914', '-8.005', '-5.233', '2.257', '-4.392', '0.180', '-0.183', '-0.479', '1028.83', 'NA']
['1552697728205', '192.168.50.145', 'NA', 'NA', '0.104', '-5.914', '-8.005', '-5.233', '2.257', '-4.392', '0.180', '-0.183', '-0.479', '1028.83', 'NA']
['1552697728226', '192.168.50.145', 'NA', 'NA', '0.104', '-5.914', '-8.005', '-5.233', '2.257', '-4.392', '0.180', '-0.183', '-0.479', '1028.83', 'NA']
['1552697728259', '192.168.50.145', 'NA', 'NA', '0.085', '-4.752', '-7.583', '2.082', '11.961', '-19.180', '0.186', '-0.186', '-0.466', '1028.80', 'NA']
['1552697728274', '192.168.50.145', '36.59', '10205FE010002A85', '0.085', '-4.752', '-7.583', '2.082', '11.961', '-19.180', '0.186', '-0.186', '-0.466', '1028.80', '-98']
['1552697728295', '192.168.50.145', 'NA', 'NA', '0.085', '-4.752', '-7.583', '2.082', '11.961', '-19.180', '0.186', '-0.186', '-0.466', '1028.80', 'NA']
['1552697728322', '192.168.50.145', 'NA', 'NA', '0.669', '-4.543', '-7.275', '22.505', '10.307', '-32.874', '0.200', '-0.179', '-0.464', '1028.78', 'NA']
['1552697728343', '192.168.50.145', 'NA', 'NA', '0.669', '-4.543', '-7.275', '22.505', '10.307', '-32.874', '0.200', '-0.179', '-0.464', '1028.78', 'NA']
['1552697728358', '192.168.50.145', '2.89', '10205FE010002C92', '0.145', '-4.428', '-7.056', '58.249', '26.075', '-12.180', '0.209', '-0.200', '-0.454', '1028.84', '-82']
['1552697728397', '192.168.50.145', '18.41', '10205FE0100031F3', '0.145', '-4.428', '-7.056', '58.249', '26.075', '-12.180', '0.209', '-0.200', '-0.454', '1028.84', '-90']
['1552697728418', '192.168.50.145', 'NA', 'NA', '1.034', '-7.976', '-8.639', '46.086', '-15.330', '76.440', '0.198', '-0.237', '-0.446', '1028.82', 'NA']
['1552697728447', '192.168.50.145', 'NA', 'NA', '1.034', '-7.976', '-8.639', '46.086', '-15.330', '76.440', '0.198', '-0.237', '-0.446', '1028.82', 'NA']
['1552697728462', '192.168.50.145', '20.89', '10205FE010002C95', '1.034', '-7.976', '-8.639', '46.086', '-15.330', '76.440', '0.198', '-0.237', '-0.446', '1028.82', '-86']
['1552697728483', '192.168.50.145', 'NA', 'NA', '-2.460', '-10.743', '-10.780', '-12.889', '-36.278', '135.494', '0.161', '-0.273', '-0.453', '1028.77', 'NA']
['1552697728509', '192.168.50.145', '2.66', '10205FE010002C92', '-2.460', '-10.743', '-10.780', '-12.889', '-36.278', '135.494', '0.161', '-0.273', '-0.453', '1028.77', '-81']
['1552697728524', '192.168.50.145', '17.99', '10205FE0100031F3', '-2.460', '-10.743', '-10.780', '-12.889', '-36.278', '135.494', '0.161', '-0.273', '-0.453', '1028.77', '-91']
['1552697728539', '192.168.50.145', '36.47', '10205FE010002A85', '-5.196', '-12.481', '-10.551', '-99.015', '7.753', '139.921', '0.130', '-0.260', '-0.472', '1028.80', '-97']
['1552697728573', '192.168.50.145', 'NA', 'NA', '-5.196', '-12.481', '-10.551', '-99.015', '7.753', '139.921', '0.130', '-0.260', '-0.472', '1028.80', 'NA']
['1552697728594', '192.168.50.145', 'NA', 'NA', '-1.497', '-8.428', '-8.317', '-110.723', '-31.605', '211.251', '0.100', '-0.232', '-0.480', '1028.80', 'NA']
['1552697728634', '192.168.50.145', '10.21', '10205FE010002BEB', '-1.497', '-8.428', '-8.317', '-110.723', '-31.605', '211.251', '0.100', '-0.232', '-0.480', '1028.80', '-83']
['1552697728649', '192.168.50.145', '2.77', '10205FE010002C92', '-1.497', '-8.428', '-8.317', '-110.723', '-31.605', '211.251', '0.100', '-0.232', '-0.480', '1028.80', '-84']
['1552697728683', '192.168.50.145', 'NA', 'NA', '0.441', '-7.476', '-7.719', '-142.940', '-146.335', '286.685', '0.019', '-0.194', '-0.501', '1028.75', 'NA']
['1552697728698', '192.168.50.145', '36.73', '10205FE010002A85', '0.441', '-7.476', '-7.719', '-142.940', '-146.335', '286.685', '0.019', '-0.194', '-0.501', '1028.75', '-97']
['1552697728720', '192.168.50.145', 'NA', 'NA', '0.441', '-7.476', '-7.719', '-142.940', '-146.335', '286.685', '0.019', '-0.194', '-0.501', '1028.75', 'NA']
['1552697728747', '192.168.50.145', '20.91', '10205FE010002C95', '-1.094', '-0.845', '-6.116', '-96.460', '-229.232', '286.685', '-0.094', '-0.110', '-0.494', '1028.76', '-83']
['1552697728769', '192.168.50.145', 'NA', 'NA', '-1.094', '-0.845', '-6.116', '-96.460', '-229.232', '286.685', '-0.094', '-0.110', '-0.494', '1028.76', 'NA']
['1552697728790', '192.168.50.145', 'NA', 'NA', '-4.119', '2.935', '-4.761', '-37.240', '-216.921', '286.685', '-0.197', '0.036', '-0.432', '1028.77', 'NA']
['1552697728824', '192.168.50.145', 'NA', 'NA', '-4.119', '2.935', '-4.761', '-37.240', '-216.921', '286.685', '-0.197', '0.036', '-0.432', '1028.77', 'NA']
['1552697728846', '192.168.50.145', 'NA', 'NA', '-4.119', '2.935', '-4.761', '-37.240', '-216.921', '286.685', '-0.197', '0.036', '-0.432', '1028.77', 'NA']
['1552697728879', '192.168.50.145', 'NA', 'NA', '-2.705', '4.466', '-4.727', '-27.134', '-233.074', '286.685', '-0.205', '0.144', '-0.382', '1028.75', 'NA']
['1552697728901', '192.168.50.145', 'NA', 'NA', '-2.705', '4.466', '-4.727', '-27.134', '-233.074', '286.685', '-0.205', '0.144', '-0.382', '1028.75', 'NA']
['1552697728935', '192.168.50.145', 'NA', 'NA', '0.141', '8.228', '-2.334', '18.515', '-227.658', '286.685', '-0.168', '0.236', '-0.322', '1028.84', 'NA']
['1552697728956', '192.168.50.145', 'NA', 'NA', '0.141', '8.228', '-2.334', '18.515', '-227.658', '286.685', '-0.168', '0.236', '-0.322', '1028.84', 'NA']
['1552697728992', '192.168.50.145', '18.22', '10205FE0100031F3', '-0.385', '7.896', '-1.622', '2.599', '-112.184', '175.114', '-0.125', '0.275', '-0.297', '1028.80', '-96']
['1552697729007', '192.168.50.145', '8.37', '10205FE010002A85', '-0.385', '7.896', '-1.622', '2.599', '-112.184', '175.114', '-0.125', '0.275', '-0.297', '1028.80', '-93']
['1552697729049', '192.168.50.145', 'NA', 'NA', '1.212', '8.119', '-1.740', '6.440', '-9.266', '66.325', '-0.099', '0.291', '-0.290', '1028.81', 'NA']
['1552697729070', '192.168.50.145', 'NA', 'NA', '1.212', '8.119', '-1.740', '6.440', '-9.266', '66.325', '-0.099', '0.291', '-0.290', '1028.81', 'NA']
['1552697729090', '192.168.50.145', '10.25', '10205FE010002BEB', '1.212', '8.119', '-1.740', '6.440', '-9.266', '66.325', '-0.099', '0.291', '-0.290', '1028.81', '-82']
['1552697729105', '192.168.50.145', '2.71', '10205FE010002C92', '1.212', '8.119', '-1.740', '6.440', '-9.266', '66.325', '-0.099', '0.291', '-0.290', '1028.81', '-83']
['1552697729120', '192.168.50.145', '18.18', '10205FE0100031F3', '4.235', '7.292', '-2.719', '16.327', '-68.005', '47.005', '-0.091', '0.292', '-0.298', '1028.85', '-95']
['1552697729141', '192.168.50.145', 'NA', 'NA', '4.235', '7.292', '-2.719', '16.327', '-68.005', '47.005', '-0.091', '0.292', '-0.298', '1028.85', 'NA']
['1552697729175', '192.168.50.145', 'NA', 'NA', '2.778', '8.091', '-3.233', '-0.385', '-34.772', '8.767', '-0.091', '0.289', '-0.294', '1028.84', 'NA']
['1552697729196', '192.168.50.145', 'NA', 'NA', '2.778', '8.091', '-3.233', '-0.385', '-34.772', '8.767', '-0.091', '0.289', '-0.294', '1028.84', 'NA']
['1552697729224', '192.168.50.145', '10.23', '10205FE010002BEB', '2.778', '8.091', '-3.233', '-0.385', '-34.772', '8.767', '-0.091', '0.289', '-0.294', '1028.84', '-83']
['1552697729238', '192.168.50.145', '2.70', '10205FE010002C92', '2.500', '7.497', '-3.778', '-15.794', '-65.319', '23.817', '-0.107', '0.298', '-0.305', '1028.77', '-82']
['1552697729253', '192.168.50.145', '18.29', '10205FE0100031F3', '2.500', '7.497', '-3.778', '-15.794', '-65.319', '23.817', '-0.107', '0.298', '-0.305', '1028.77', '-94']
['1552697729280', '192.168.50.145', 'NA', 'NA', '2.500', '7.497', '-3.778', '-15.794', '-65.319', '23.817', '-0.107', '0.298', '-0.305', '1028.77', 'NA']
['1552697729301', '192.168.50.145', 'NA', 'NA', '2.197', '9.978', '-3.111', '-3.999', '-83.029', '1.173', '-0.120', '0.302', '-0.295', '1028.86', 'NA']
['1552697729316', '192.168.50.145', '21.02', '10205FE010002C95', '2.197', '9.978', '-3.111', '-3.999', '-83.029', '1.173', '-0.120', '0.302', '-0.295', '1028.86', '-84']
['1552697729337', '192.168.50.145', '10.30', '10205FE010002BEB', '2.197', '9.978', '-3.111', '-3.999', '-83.029', '1.173', '-0.120', '0.302', '-0.295', '1028.86', '-84']
['1552697729359', '192.168.50.145', 'NA', 'NA', '1.417', '9.416', '-3.489', '-6.939', '-43.409', '6.344', '-0.121', '0.299', '-0.275', '1028.83', 'NA']
['1552697729380', '192.168.50.145', 'NA', 'NA', '1.417', '9.416', '-3.489', '-6.939', '-43.409', '6.344', '-0.121', '0.299', '-0.275', '1028.83', 'NA']
['1552697729417', '192.168.50.145', 'NA', 'NA', '1.417', '9.416', '-3.489', '-6.939', '-43.409', '6.344', '-0.121', '0.299', '-0.275', '1028.83', 'NA']
['1552697729453', '192.168.50.145', 'NA', 'NA', '1.363', '8.551', '-3.465', '12.267', '-22.706', '9.459', '-0.120', '0.306', '-0.266', '1028.88', 'NA']
['1552697729480', '192.168.50.145', 'NA', 'NA', '1.363', '8.551', '-3.465', '12.267', '-22.706', '9.459', '-0.120', '0.306', '-0.266', '1028.88', 'NA']
['1552697729504', '192.168.50.145', 'NA', 'NA', '1.120', '7.601', '-4.284', '-7.744', '10.719', '0.805', '-0.114', '0.298', '-0.264', '1028.89', 'NA']
