['1552699093576', '192.168.50.145', 'NA', 'NA', '0.705', '-0.914', '-9.695', '-2.389', '-2.100', '-2.144', '-0.245', '0.500', '-0.893', '1028.59', 'NA']
['1552699093624', '192.168.50.145', 'NA', 'NA', '0.906', '-1.023', '-9.835', '-2.599', '-1.628', '-2.398', '-0.237', '0.493', '-0.878', '1028.57', 'NA']
['1552699093645', '192.168.50.145', 'NA', 'NA', '0.906', '-1.023', '-9.835', '-2.599', '-1.628', '-2.398', '-0.237', '0.493', '-0.878', '1028.57', 'NA']
['1552699093673', '192.168.50.145', '42.15', '10205FE010002A7B', '0.677', '-1.059', '-9.900', '-3.027', '-1.514', '-2.362', '-0.244', '0.493', '-0.887', '1028.62', '-100']
['1552699093694', '192.168.50.145', 'NA', 'NA', '0.677', '-1.059', '-9.900', '-3.027', '-1.514', '-2.362', '-0.244', '0.493', '-0.887', '1028.62', 'NA']
['1552699093722', '192.168.50.145', '11.02', '10205FE010002BEB', '0.677', '-1.059', '-9.900', '-3.027', '-1.514', '-2.362', '-0.244', '0.493', '-0.887', '1028.62', '-94']
['1552699093744', '192.168.50.145', 'NA', 'NA', '0.961', '-1.090', '-10.104', '-2.642', '-1.444', '-2.450', '-0.250', '0.496', '-0.887', '1028.61', 'NA']
['1552699093765', '192.168.50.145', 'NA', 'NA', '0.961', '-1.090', '-10.104', '-2.642', '-1.444', '-2.450', '-0.250', '0.496', '-0.887', '1028.61', 'NA']
['1552699093799', '192.168.50.145', 'NA', 'NA', '0.717', '-1.024', '-9.753', '-2.879', '-1.680', '-2.371', '-0.245', '0.494', '-0.877', '1028.61', 'NA']
['1552699093821', '192.168.50.145', 'NA', 'NA', '0.717', '-1.024', '-9.753', '-2.879', '-1.680', '-2.371', '-0.245', '0.494', '-0.877', '1028.61', 'NA']
['1552699093854', '192.168.50.145', 'NA', 'NA', '0.717', '-1.024', '-9.753', '-2.879', '-1.680', '-2.371', '-0.245', '0.494', '-0.877', '1028.61', 'NA']
