[1546720830.992495, '192.168.50.145', '13.37', '10205FE010002C95', '-0.683', '-0.757', '-9.381', '12.714', '29.444', '-4.699', '0.070', '-0.463', '-0.395', '-91']
[1546720831.1087067, '192.168.50.145', '24.92', '10205FE010002A7B', '-0.273', '-0.788', '-9.199', '-7.114', '0.892', '-2.634', '0.074', '-0.456', '-0.398', '-82']
[1546720831.124127, '192.168.50.145', '13.48', '10205FE010002C95', '-0.261', '-0.631', '-8.512', '9.222', '-12.119', '-6.571', '0.073', '-0.457', '-0.400', '-89']
[1546720831.2351604, '192.168.50.145', '24.65', '10205FE010002A85', '-0.763', '-1.279', '-7.693', '28.910', '17.535', '6.116', '0.074', '-0.464', '-0.396', '-81']
[1546720831.250528, '192.168.50.145', '24.90', '10205FE010002A7B', '0.435', '-2.613', '-7.833', '-5.679', '-5.084', '8.557', '0.073', '-0.467', '-0.392', '-83']
[1546720831.3714912, '192.168.50.145', '24.62', '10205FE010002A85', '0.044', '-1.579', '-10.872', '14.464', '3.447', '3.640', '0.068', '-0.475', '-0.391', '-82']
[1546720831.3867893, '192.168.50.145', '24.92', '10205FE010002A7B', '0.044', '-1.579', '-10.872', '14.464', '3.447', '3.640', '0.068', '-0.475', '-0.391', '-83']
[1546720831.7210798, '192.168.50.145', '13.72', '10205FE010002C95', '-0.194', '-1.774', '-7.419', '9.887', '-4.349', '5.040', '0.049', '-0.471', '-0.393', '-92']
[1546720831.850198, '192.168.50.145', '25.05', '10205FE010002A7B', '0.598', '-2.037', '-9.576', '15.295', '-3.203', '-4.594', '0.044', '-0.478', '-0.390', '-82']
[1546720832.3148792, '192.168.50.145', '25.18', '10205FE010002A7B', '-0.091', '-2.097', '-8.759', '2.179', '3.098', '3.159', '0.074', '-0.470', '-0.395', '-83']
[1546720832.4439707, '192.168.50.145', '24.42', '10205FE010002A85', '0.674', '-1.007', '-11.987', '8.496', '-4.270', '7.569', '0.071', '-0.477', '-0.394', '-83']
[1546720832.5700297, '192.168.50.145', '3.38', '10205FE010002C92', '-0.736', '-1.220', '-9.135', '10.929', '6.352', '9.590', '0.063', '-0.476', '-0.391', '-87']
[1546720832.7939453, '192.168.50.145', '24.36', '10205FE010002A85', '-0.047', '-1.768', '-8.703', '2.459', '0.192', '-2.415', '0.042', '-0.478', '-0.394', '-83']
[1546720833.0224025, '192.168.50.145', '8.17', '10205FE010002BEB', '0.084', '-1.858', '-11.544', '-10.946', '1.251', '-1.339', '0.045', '-0.483', '-0.396', '-84']
[1546720833.0365386, '192.168.50.145', '2.80', '10205FE010002C92', '0.084', '-1.858', '-11.544', '-10.946', '1.251', '-1.339', '0.045', '-0.483', '-0.396', '-84']
[1546720833.1553583, '192.168.50.145', '8.32', '10205FE010002BEB', '-0.774', '-0.511', '-8.563', '5.486', '13.466', '-1.575', '0.056', '-0.488', '-0.386', '-86']
[1546720833.2631967, '192.168.50.145', '14.76', '10205FE010002C95', '-0.636', '-1.388', '-8.328', '-0.192', '5.696', '-3.894', '0.061', '-0.484', '-0.391', '-92']
[1546720833.7361047, '192.168.50.145', '15.16', '10205FE010002C95', '0.451', '-1.603', '-7.718', '1.059', '-4.664', '4.786', '0.049', '-0.492', '-0.367', '-92']
[1546720833.8364027, '192.168.50.145', '24.27', '10205FE010002A85', '0.368', '-1.842', '-7.604', '-2.424', '-8.636', '4.515', '0.046', '-0.495', '-0.365', '-82']
[1546720833.9654913, '192.168.50.145', '12.35', '10205FE0100031F3', '0.665', '-2.552', '-9.760', '14.621', '-4.165', '-0.621', '0.042', '-0.499', '-0.363', '-88']
[1546720833.979608, '192.168.50.145', '24.16', '10205FE010002A85', '0.132', '-2.684', '-10.226', '9.695', '-2.511', '-4.725', '0.041', '-0.504', '-0.356', '-82']
[1546720834.220947, '192.168.50.145', '1.58', '10205FE010002C92', '-0.635', '-0.938', '-10.499', '23.153', '21.026', '-3.763', '0.047', '-0.503', '-0.360', '-81']
[1546720834.3273022, '192.168.50.145', '15.62', '10205FE010002C95', '-0.328', '-1.103', '-8.083', '4.769', '-7.866', '-7.455', '0.046', '-0.498', '-0.362', '-88']
