[1546720948.5039885, '192.168.50.145', '8.06', '10205FE010002BEB', '0.048', '-1.128', '-10.403', '6.816', '-14.726', '10.413', '0.001', '-0.478', '-0.384', '-93']
[1546720948.6075287, '192.168.50.145', '14.63', '10205FE010002C95', '0.315', '0.449', '-10.552', '7.481', '-11.349', '-1.190', '-0.005', '-0.457', '-0.395', '-98']
[1546720948.753803, '192.168.50.145', '8.74', '10205FE010002BEB', '-0.414', '-2.219', '-8.020', '-0.586', '-1.076', '10.010', '-0.010', '-0.460', '-0.398', '-86']
[1546720948.8616352, '192.168.50.145', '14.87', '10205FE010002C95', '-0.759', '-1.911', '-11.042', '11.069', '-10.080', '-6.633', '-0.013', '-0.473', '-0.382', '-97']
[1546720949.2405312, '192.168.50.145', '25.90', '10205FE010002A7B', '-0.811', '-1.655', '-7.507', '4.471', '-1.207', '-9.494', '0.002', '-0.485', '-0.363', '-81']
[1546720949.5907402, '192.168.50.145', '26.14', '10205FE010002A7B', '-0.135', '-2.116', '-8.380', '-23.398', '13.913', '25.104', '-0.008', '-0.477', '-0.359', '-82']
[1546720949.8211894, '192.168.50.145', '9.73', '10205FE010002BEB', '-0.668', '-2.443', '-8.317', '-7.945', '15.785', '4.060', '-0.024', '-0.473', '-0.365', '-87']
[1546720950.0573502, '192.168.50.145', '15.89', '10205FE010002C95', '-0.883', '0.530', '-10.971', '7.367', '-7.753', '-21.691', '-0.016', '-0.484', '-0.351', '-90']
[1546720950.421424, '192.168.50.145', '10.37', '10205FE010002BEB', '-0.988', '-1.577', '-9.753', '21.542', '-5.845', '1.855', '-0.025', '-0.480', '-0.353', '-89']
[1546720950.680609, '192.168.50.145', '10.75', '10205FE010002BEB', '-1.175', '-1.295', '-8.879', '-8.278', '6.492', '-16.520', '-0.011', '-0.472', '-0.354', '-88']
[1546720950.695765, '192.168.50.145', '0.55', '10205FE010002C92', '-1.175', '-1.295', '-8.879', '-8.278', '6.492', '-16.520', '-0.011', '-0.472', '-0.354', '-81']
[1546720950.8025968, '192.168.50.145', '26.28', '10205FE010002A7B', '-2.590', '-0.453', '-8.107', '-12.749', '-14.919', '-68.819', '0.000', '-0.464', '-0.367', '-81']
[1546720950.912132, '192.168.50.145', '24.18', '10205FE010002A85', '-0.864', '-0.438', '-9.559', '-3.369', '2.398', '-142.284', '0.082', '-0.453', '-0.370', '-83']
[1546720951.1954145, '192.168.50.145', '26.49', '10205FE010002A7B', '-1.445', '0.214', '-8.620', '-6.396', '8.741', '-129.938', '0.204', '-0.359', '-0.395', '-83']
[1546720951.8865368, '192.168.50.145', '26.24', '10205FE010002A7B', '-1.024', '-0.981', '-9.415', '-20.650', '5.145', '-8.645', '0.245', '-0.183', '-0.401', '-84']
[1546720951.900459, '192.168.50.145', '16.05', '10205FE010002C95', '-0.805', '-1.482', '-9.387', '-13.501', '2.380', '-11.016', '0.245', '-0.172', '-0.401', '-86']
[1546720951.997115, '192.168.50.145', '26.14', '10205FE010002A7B', '-0.684', '-2.192', '-8.600', '-20.177', '11.533', '-3.824', '0.249', '-0.163', '-0.400', '-84']
[1546720952.0109744, '192.168.50.145', '15.93', '10205FE010002C95', '-0.684', '-2.192', '-8.600', '-20.177', '11.533', '-3.824', '0.249', '-0.163', '-0.400', '-86']
[1546720952.1334713, '192.168.50.145', '15.93', '10205FE010002C95', '-1.082', '-1.714', '-10.465', '-3.736', '22.129', '-0.490', '0.257', '-0.152', '-0.402', '-87']
[1546720952.2319117, '192.168.50.145', '25.89', '10205FE010002A7B', '0.138', '-0.501', '-11.480', '27.737', '-14.534', '-22.417', '0.248', '-0.162', '-0.418', '-84']
[1546720952.4946427, '192.168.50.145', '23.29', '10205FE010002A85', '0.450', '-0.154', '-9.421', '8.496', '-10.299', '20.108', '0.273', '-0.194', '-0.389', '-84']
[1546720952.8513699, '192.168.50.145', '10.89', '10205FE010002BEB', '-0.401', '-0.946', '-12.287', '-16.135', '-0.403', '7.963', '0.267', '-0.225', '-0.383', '-82']
[1546720952.9749453, '192.168.50.145', '22.72', '10205FE010002A85', '-1.846', '-0.833', '-8.127', '10.351', '33.145', '-4.856', '0.276', '-0.225', '-0.378', '-91']
[1546720953.0862644, '192.168.50.145', '2.35', '10205FE010002C92', '-1.237', '-0.913', '-6.797', '16.231', '11.392', '-18.506', '0.274', '-0.222', '-0.386', '-83']
[1546720953.3504276, '192.168.50.145', '14.79', '10205FE010002C95', '0.558', '-1.661', '-10.969', '2.993', '11.926', '7.613', '0.285', '-0.228', '-0.372', '-91']
[1546720953.468688, '192.168.50.145', '22.12', '10205FE010002A85', '0.231', '-1.433', '-8.889', '3.264', '-15.601', '22.216', '0.274', '-0.239', '-0.380', '-89']
[1546720953.613052, '192.168.50.145', '24.43', '10205FE010002A7B', '-0.501', '-0.997', '-7.732', '1.347', '-6.948', '20.650', '0.270', '-0.245', '-0.371', '-87']
[1546720953.7153542, '192.168.50.145', '21.77', '10205FE010002A85', '-0.446', '-2.143', '-8.497', '-4.270', '4.996', '5.591', '0.269', '-0.253', '-0.364', '-89']
[1546720954.2232435, '192.168.50.145', '13.94', '10205FE010002C95', '-0.421', '-1.330', '-8.113', '2.861', '5.049', '-9.100', '0.279', '-0.240', '-0.341', '-93']
[1546720954.3370936, '192.168.50.145', '23.55', '10205FE010002A7B', '-0.097', '-1.687', '-11.165', '-11.069', '-1.085', '10.036', '0.270', '-0.245', '-0.345', '-84']
[1546720954.5857155, '192.168.50.145', '23.69', '10205FE010002A7B', '-0.379', '-0.791', '-7.894', '-19.705', '11.655', '12.110', '0.261', '-0.255', '-0.328', '-83']
[1546720954.720663, '192.168.50.145', '20.44', '10205FE010002A85', '-0.554', '-2.020', '-7.840', '4.865', '6.799', '-0.586', '0.253', '-0.251', '-0.330', '-94']
[1546720954.7347991, '192.168.50.145', '23.08', '10205FE010002A7B', '-0.554', '-2.020', '-7.840', '4.865', '6.799', '-0.586', '0.253', '-0.251', '-0.330', '-86']
[1546720955.021059, '192.168.50.145', '4.86', '10205FE010002C92', '-0.569', '-1.169', '-9.098', '-6.099', '-9.450', '-10.456', '0.258', '-0.233', '-0.300', '-84']
[1546720955.1304917, '192.168.50.145', '13.18', '10205FE010002C95', '-0.983', '-0.793', '-7.856', '-3.412', '16.599', '-4.209', '0.263', '-0.226', '-0.292', '-90']
[1546720955.1446059, '192.168.50.145', '11.69', '10205FE010002BEB', '-0.485', '-0.721', '-8.171', '2.844', '-3.605', '-13.134', '0.265', '-0.218', '-0.287', '-81']
[1546720955.3790436, '192.168.50.145', '19.59', '10205FE010002A85', '-0.692', '-0.930', '-10.690', '19.259', '2.354', '2.993', '0.273', '-0.195', '-0.271', '-93']
[1546720955.7196243, '192.168.50.145', '21.97', '10205FE010002A7B', '-0.333', '-1.506', '-7.309', '0.280', '-7.429', '6.729', '0.279', '-0.169', '-0.283', '-93']
[1546720955.9971762, '192.168.50.145', '21.52', '10205FE010002A7B', '-0.514', '-1.915', '-12.145', '-12.871', '2.870', '1.426', '0.295', '-0.135', '-0.302', '-91']
[1546720956.1093988, '192.168.50.145', '18.86', '10205FE010002A85', '-1.135', '0.190', '-8.733', '-15.033', '-6.904', '-9.774', '0.300', '-0.126', '-0.315', '-84']
[1546720956.261364, '192.168.50.145', '21.22', '10205FE010002A7B', '-1.362', '-1.126', '-6.510', '-2.984', '9.966', '-5.705', '0.308', '-0.104', '-0.337', '-93']
[1546720956.4952142, '192.168.50.145', '6.62', '10205FE010002C92', '-1.107', '-1.831', '-10.695', '-14.875', '19.609', '8.137', '0.334', '-0.083', '-0.352', '-93']
[1546720956.6049993, '192.168.50.145', '12.22', '10205FE010002C95', '0.619', '1.652', '-10.315', '16.406', '-30.853', '10.386', '0.335', '-0.091', '-0.380', '-84']
[1546720956.6204858, '192.168.50.145', '12.49', '10205FE010002BEB', '0.619', '1.652', '-10.315', '16.406', '-30.853', '10.386', '0.335', '-0.091', '-0.380', '-86']
[1546720956.7335339, '192.168.50.145', '20.71', '10205FE010002A7B', '-0.647', '-0.395', '-8.461', '5.031', '-15.024', '6.204', '0.333', '-0.098', '-0.405', '-94']
[1546720957.09429, '192.168.50.145', '7.57', '10205FE010002C92', '-0.895', '0.136', '-10.899', '9.459', '-1.190', '-7.674', '0.359', '-0.128', '-0.465', '-88']
[1546720957.3314478, '192.168.50.145', '20.05', '10205FE010002A7B', '-0.878', '-1.653', '-7.444', '-7.088', '5.407', '-5.241', '0.380', '-0.130', '-0.486', '-93']
[1546720957.4889371, '192.168.50.145', '54.72', '10205FE010002A7B', '-1.120', '-2.075', '-10.397', '-11.533', '12.198', '8.855', '0.388', '-0.144', '-0.509', '-111']
[1546720957.7086828, '192.168.50.145', '8.16', '10205FE010002C92', '0.127', '-0.635', '-8.384', '-4.043', '2.205', '9.371', '0.391', '-0.178', '-0.526', '-93']
[1546720957.8471453, '192.168.50.145', '8.40', '10205FE010002C92', '-0.121', '-1.819', '-8.100', '-14.201', '-1.102', '9.993', '0.385', '-0.187', '-0.535', '-89']
[1546720957.9637532, '192.168.50.145', '14.27', '10205FE010002BEB', '-0.577', '-1.158', '-11.036', '22.864', '-2.730', '-4.970', '0.378', '-0.209', '-0.551', '-95']
[1546720958.0669408, '192.168.50.145', '19.28', '10205FE010002A7B', '-0.762', '0.102', '-11.846', '-4.218', '-2.214', '-6.781', '0.375', '-0.207', '-0.547', '-91']
[1546720958.2143779, '192.168.50.145', '19.20', '10205FE010002A7B', '-1.036', '-0.413', '-8.320', '-10.273', '13.405', '-0.324', '0.372', '-0.200', '-0.535', '-88']
