['1553383320163', '192.168.50.145', 'NA', 'NA', '0.100', '0.059', '-9.915', '-1.015', '-1.908', '-4.086', '-0.056', '-0.302', '-0.469', '1021.95', 'NA']
['1553383320185', '192.168.50.145', 'NA', 'NA', '0.100', '0.059', '-9.915', '-1.015', '-1.908', '-4.086', '-0.056', '-0.302', '-0.469', '1021.95', 'NA']
['1553383320207', '192.168.50.145', 'NA', 'NA', '0.024', '0.097', '-9.809', '-0.840', '-0.971', '-3.885', '-0.056', '-0.300', '-0.479', '1021.93', 'NA']
['1553383320228', '192.168.50.145', 'NA', 'NA', '0.024', '0.097', '-9.809', '-0.840', '-0.971', '-3.885', '-0.056', '-0.300', '-0.479', '1021.93', 'NA']
['1553383320251', '192.168.50.145', 'NA', 'NA', '0.020', '0.056', '-9.878', '-2.266', '-1.942', '-3.299', '-0.058', '-0.298', '-0.469', '1021.95', 'NA']
['1553383320274', '192.168.50.145', 'NA', 'NA', '0.020', '0.056', '-9.878', '-2.266', '-1.942', '-3.299', '-0.058', '-0.298', '-0.469', '1021.95', 'NA']
['1553383320301', '192.168.50.145', 'NA', 'NA', '0.020', '0.056', '-9.878', '-2.266', '-1.942', '-3.299', '-0.058', '-0.298', '-0.469', '1021.95', 'NA']
['1553383320323', '192.168.50.145', 'NA', 'NA', '0.081', '0.053', '-9.991', '-2.713', '-1.759', '-3.237', '-0.063', '-0.301', '-0.476', '1022.00', 'NA']
['1553383320346', '192.168.50.145', 'NA', 'NA', '0.081', '0.053', '-9.991', '-2.713', '-1.759', '-3.237', '-0.063', '-0.301', '-0.476', '1022.00', 'NA']
['1553383320369', '192.168.50.145', 'NA', 'NA', '0.081', '0.053', '-9.991', '-2.713', '-1.759', '-3.237', '-0.063', '-0.301', '-0.476', '1022.00', 'NA']
['1553383320391', '192.168.50.145', 'NA', 'NA', '0.090', '0.106', '-9.866', '-2.546', '-2.266', '-3.404', '-0.060', '-0.302', '-0.470', '1021.93', 'NA']
['1553383320414', '192.168.50.145', 'NA', 'NA', '0.090', '0.106', '-9.866', '-2.546', '-2.266', '-3.404', '-0.060', '-0.302', '-0.470', '1021.93', 'NA']
['1553383320437', '192.168.50.145', 'NA', 'NA', '0.090', '0.106', '-9.866', '-2.546', '-2.266', '-3.404', '-0.060', '-0.302', '-0.470', '1021.93', 'NA']
['1553383320459', '192.168.50.145', 'NA', 'NA', '0.071', '0.124', '-9.751', '-0.385', '-0.936', '-3.701', '-0.056', '-0.299', '-0.470', '1021.94', 'NA']
['1553383320482', '192.168.50.145', 'NA', 'NA', '0.071', '0.124', '-9.751', '-0.385', '-0.936', '-3.701', '-0.056', '-0.299', '-0.470', '1021.94', 'NA']
['1553383320504', '192.168.50.145', 'NA', 'NA', '0.103', '0.056', '-9.904', '-1.864', '-1.864', '-3.798', '-0.061', '-0.299', '-0.471', '1021.91', 'NA']
['1553383320526', '192.168.50.145', 'NA', 'NA', '0.103', '0.056', '-9.904', '-1.864', '-1.864', '-3.798', '-0.061', '-0.299', '-0.471', '1021.91', 'NA']
['1553383320548', '192.168.50.145', 'NA', 'NA', '0.103', '0.056', '-9.904', '-1.864', '-1.864', '-3.798', '-0.061', '-0.299', '-0.471', '1021.91', 'NA']
['1553383320570', '192.168.50.145', 'NA', 'NA', '0.075', '0.095', '-9.795', '-2.196', '-2.179', '-4.323', '-0.060', '-0.299', '-0.471', '1021.91', 'NA']
['1553383320593', '192.168.50.145', 'NA', 'NA', '0.075', '0.095', '-9.795', '-2.196', '-2.179', '-4.323', '-0.060', '-0.299', '-0.471', '1021.91', 'NA']
['1553383320615', '192.168.50.145', 'NA', 'NA', '0.075', '0.095', '-9.795', '-2.196', '-2.179', '-4.323', '-0.060', '-0.299', '-0.471', '1021.91', 'NA']
['1553383320637', '192.168.50.145', 'NA', 'NA', '0.071', '0.079', '-9.951', '-3.439', '-2.319', '-4.506', '-0.057', '-0.301', '-0.470', '1021.94', 'NA']
['1553383320660', '192.168.50.145', 'NA', 'NA', '0.071', '0.079', '-9.951', '-3.439', '-2.319', '-4.506', '-0.057', '-0.301', '-0.470', '1021.94', 'NA']
['1553383320682', '192.168.50.145', 'NA', 'NA', '0.071', '0.079', '-9.951', '-3.439', '-2.319', '-4.506', '-0.057', '-0.301', '-0.470', '1021.94', 'NA']
['1553383320704', '192.168.50.145', 'NA', 'NA', '0.108', '0.172', '-9.783', '-1.444', '-1.794', '-4.646', '-0.056', '-0.301', '-0.470', '1021.94', 'NA']
['1553383320726', '192.168.50.145', 'NA', 'NA', '0.108', '0.172', '-9.783', '-1.444', '-1.794', '-4.646', '-0.056', '-0.301', '-0.470', '1021.94', 'NA']
['1553383320749', '192.168.50.145', 'NA', 'NA', '0.001', '0.091', '-9.923', '-2.459', '-2.091', '-4.366', '-0.058', '-0.301', '-0.470', '1021.93', 'NA']
['1553383320771', '192.168.50.145', 'NA', 'NA', '0.001', '0.091', '-9.923', '-2.459', '-2.091', '-4.366', '-0.058', '-0.301', '-0.470', '1021.93', 'NA']
['1553383320793', '192.168.50.145', 'NA', 'NA', '0.001', '0.091', '-9.923', '-2.459', '-2.091', '-4.366', '-0.058', '-0.301', '-0.470', '1021.93', 'NA']
['1553383320815', '192.168.50.145', 'NA', 'NA', '0.047', '0.098', '-9.764', '-2.800', '-2.546', '-4.060', '-0.062', '-0.298', '-0.476', '1021.92', 'NA']
['1553383320837', '192.168.50.145', 'NA', 'NA', '0.047', '0.098', '-9.764', '-2.800', '-2.546', '-4.060', '-0.062', '-0.298', '-0.476', '1021.92', 'NA']
['1553383320859', '192.168.50.145', 'NA', 'NA', '0.047', '0.098', '-9.764', '-2.800', '-2.546', '-4.060', '-0.062', '-0.298', '-0.476', '1021.92', 'NA']
['1553383320881', '192.168.50.145', 'NA', 'NA', '-0.018', '0.098', '-9.765', '-1.995', '-1.794', '-3.622', '-0.058', '-0.301', '-0.470', '1022.01', 'NA']
['1553383320903', '192.168.50.145', 'NA', 'NA', '-0.018', '0.098', '-9.765', '-1.995', '-1.794', '-3.622', '-0.058', '-0.301', '-0.470', '1022.01', 'NA']
